frame,player_id,landmark_index,x_norm,y_norm,visibility
1,1,0,0.1606011308427164,-1.288824075012799,0.997794270515442
1,1,1,0.13651096121630893,-1.3610945838920214,0.9977272748947144
1,1,2,0.13651096121630893,-1.3610945838920214,0.9976304173469543
1,1,3,0.13651096121630893,-1.3610945838920214,0.9976785778999328
1,1,4,0.11242079158990148,-1.3610945838920214,0.997435450553894
1,1,5,0.08833062196349402,-1.3691246404341573,0.9972178339958192
1,1,6,0.06424045233708656,-1.3691246404341573,0.9974913001060486
1,1,7,0.04818033925281492,-1.3450344708077497,0.9966026544570924
1,1,8,-0.02409016962640746,-1.3530645273498856,0.9968209862709044
1,1,9,0.1284809046741731,-1.2245836226757125,0.995680332183838
1,1,10,0.10439073504776565,-1.2245836226757125,0.9954643845558168
1,1,11,0.00803005654213582,-0.9756518698695021,0.993869423866272
1,1,12,-0.19272135701125967,-1.0158021525801813,0.9937840700149536
1,1,13,-0.20075141355339549,-0.5420288165941678,0.600642740726471
1,1,14,-0.6263444102865939,-0.7186900605211559,0.6030746102333069
1,1,15,-0.17666124392698804,-0.2850670072458216,0.7264013290405273
1,1,16,-0.27302192243261786,-0.4697583077149455,0.6633312106132507
1,1,17,-0.22484158317980296,-0.18067627219805593,0.7115872502326965
1,1,18,-0.3212022616854328,-0.357337516125044,0.6630664467811584
1,1,19,-0.4336230532753343,-0.21279649836659922,0.7076681852340698
1,1,20,-0.4336230532753343,-0.357337516125044,0.6580995321273804
1,1,21,-0.2087814700955313,-0.21279649836659922,0.6886141896247864
1,1,22,-0.3693826009382477,-0.3974877988357231,0.6504848599433899
1,1,23,0.08833062196349402,0.00401502827106791,0.9880399107933044
1,1,24,-0.08833062196349402,-0.00401502827106791,0.987088680267334
1,1,25,-0.08833062196349402,0.7829305128582424,0.5030858516693115
1,1,26,-0.17666124392698804,0.8552010217374648,0.5557368397712708
1,1,27,-0.20075141355339549,1.6180563932403678,0.4765914678573608
1,1,28,-0.07227050887922237,1.6260864497825036,0.5167422890663147
1,1,29,-0.16863118738485222,1.738507241372405,0.5839009881019592
1,1,30,-0.10439073504776565,1.7304771848302691,0.559323251247406
1,1,31,0.03212022616854328,1.7545673544566767,0.5700148344039917
1,1,32,0.2087814700955313,1.8428979764201707,0.5530368685722351
1,2,0,-0.261137053194592,-1.3662387855543148,0.9979382157325744
1,2,1,-0.20058353361323733,-1.4267923051356695,0.9978561997413636
1,2,2,-0.193014343665568,-1.4267923051356695,0.9977739453315736
1,2,3,-0.17787596377022935,-1.4192231151880002,0.9978371262550354
1,2,4,-0.22329110345624534,-1.4267923051356695,0.9975534081459044
1,2,5,-0.215721913508576,-1.4267923051356695,0.9973519444465636
1,2,6,-0.215721913508576,-1.4267923051356695,0.997600257396698
1,2,7,-0.08704568439819733,-1.3813771654496534,0.9968863725662231
1,2,8,-0.14003001403188267,-1.396515545344992,0.9969327449798584
1,2,9,-0.23086029340391467,-1.2905468860776215,0.9960724115371704
1,2,10,-0.25356786324692265,-1.2905468860776215,0.9957767128944396
1,2,11,0.056768924607520005,-1.0180560479615253,0.9944807291030884
1,2,12,-0.14003001403188267,-0.9802100982231787,0.9942564964294434
1,2,13,0.20815272356090667,-0.556335461153696,0.6404144167900085
1,2,14,-0.3368289526712853,-0.533627891310688,0.5519471168518066
1,2,15,-0.23086029340391467,-0.329259762723616,0.7534255385398865
1,2,16,-0.374674902409632,-0.24599867329925335,0.6188247203826904
1,2,17,-0.3443981426189547,-0.25356786324692265,0.7394651174545288
1,2,18,-0.465505181781664,-0.147599203979552,0.6208783388137817
1,2,19,-0.39738247225264,-0.29898300293293867,0.7358598113059998
1,2,20,-0.49578194157234134,-0.17030677382256001,0.6170485615730286
1,2,21,-0.351967332566624,-0.3216905727759467,0.7180183529853821
1,2,22,-0.4579359918339947,-0.1854451537178987,0.6105068325996399
1,2,23,0.09461487434586667,-0.0037845949738346666,0.9890927672386168
1,2,24,-0.09461487434586667,0.0037845949738346666,0.9878425002098083
1,2,25,-0.034061354764512004,0.692580880211744,0.5174980759620667
1,2,26,-0.15516839392722134,0.692580880211744,0.5164764523506165
1,2,27,0.011353784921504,1.4192231151880002,0.4973889291286468
1,2,28,-0.04163054471218133,1.3511004056589762,0.4888473451137543
1,2,29,0.08704568439819733,1.5251917744553707,0.6045386791229248
1,2,30,0.011353784921504,1.4494998749786774,0.5437865257263184
1,2,31,-0.13246082408421334,1.5933144839843947,0.5874466896057129
1,2,32,-0.20815272356090667,1.5403301543507093,0.5414199233055115
2,1,0,0.15872240565388138,-1.3264658186788656,0.9981181621551514
2,1,1,0.14360598606779743,-1.3869314970232014,0.9980319738388062
2,1,2,0.14360598606779743,-1.3869314970232014,0.9979481101036072
