video_id,label,frame_count,fps,duration_seconds,width,height,file_size_MB
right_left_C001.mp4 ,right_left,43,30.0,1.4333333333333333,1920,1080,1.25
right_left_C002.mp4 ,right_left,30,24.0,1.25,1920,1080,1.24
right_left_C003.mp4 ,right_left,29,30.0,0.9666666666666667,1920,1080,0.95
right_left_C004,right_left,40,30.0,1.3333333333333333,1920,1080,1.44
right_left_C005,right_left,28,24.0,1.1666666666666667,1920,1080,1.17
right_left_C006,right_left,94,60.0,1.5666666666666667,1920,1080,2.29
right_left_C007,right_left,45,30.0,1.5,1920,1080,1.36
right_left_C008,right_left,32,30.0,1.0666666666666667,1920,1080,1.12
right_left_C010,right_left,32,30.0,1.0666666666666667,1920,1080,1.16
right_left_C009,right_left,35,30.0,1.1666666666666667,1920,1080,1.32
right_left_C011,right_left,37,30.0,1.2333333333333334,1920,1080,1.18
right_left_C012,right_left,45,30.0,1.5,1920,1080,1.36
right_left_C013,right_left,27,24.0,1.125,1920,1080,1.17
right_left_C014,right_left,39,30.0,1.3,1920,1080,1.28
right_left_C015,right_left,31,30.0,1.0333333333333334,1920,1080,1.02
right_left_C016,right_left,32,30.0,1.0666666666666667,1920,1080,1.05
right_left_C017,right_left,30,24.0,1.25,1920,1080,1.24
right_left_C018,right_left,38,30.0,1.2666666666666666,1920,1080,1.38
right_left_C019,right_left,38,30.0,1.2666666666666666,1920,1080,1.38
right_left_C020,right_left,32,30.0,1.0666666666666667,1920,1080,1.16
right_left_C021,right_left,36,30.0,1.2,1920,1080,1.15
right_left_C022,right_left,54,30.0,1.8,1920,1080,1.51
right_left_C023,right_left,27,24.0,1.125,1920,1080,1.2
right_left_C024,right_left,36,30.0,1.2,1920,1080,1.29
right_left_C025,right_left,40,30.0,1.3333333333333333,1920,1080,1.44
right_left_C026,right_left,30,24.0,1.25,1920,1080,1.29
right_left_C027,right_left,32,30.0,1.0666666666666667,1920,1080,1.05
right_left_C028,right_left,35,30.0,1.1666666666666667,1920,1080,1.32
right_left_C029,right_left,33,30.0,1.1,1920,1080,1.09
right_left_C030,right_left,27,24.0,1.125,1920,1080,1.17
right_left_C031,right_left,32,30.0,1.0666666666666667,1920,1080,0.97
right_left_C032,right_left,31,30.0,1.0333333333333334,1920,1080,1.02
right_left_C033,right_left,54,30.0,1.8,1920,1080,1.51
right_left_C034,right_left,32,30.0,1.0666666666666667,1920,1080,1.12
right_left_C035,right_left,29,24.0,1.2083333333333333,1920,1080,1.3
right_left_C036,right_left,32,30.0,1.0666666666666667,1920,1080,0.97
right_left_C037,right_left,29,24.0,1.2083333333333333,1920,1080,1.3
right_left_C038,right_left,29,30.0,0.9666666666666667,1920,1080,0.97
right_left_C039,right_left,33,30.0,1.1,1920,1080,1.09
right_left_C040,right_left,32,30.0,1.0666666666666667,1920,1080,0.97
right_left_C041,right_left,29,30.0,0.9666666666666667,1920,1080,0.97
right_left_C042,right_left,94,60.0,1.5666666666666667,1920,1080,2.29
right_left_C043,right_left,29,30.0,0.9666666666666667,1920,1080,0.95
right_left_C044,right_left,28,24.0,1.1666666666666667,1920,1080,1.17
right_left_C045,right_left,32,30.0,1.0666666666666667,1920,1080,1.12
right_left_C046,right_left,36,30.0,1.2,1920,1080,1.29
right_left_C047.mp4 ,right_left,27,24.0,1.125,1920,1080,1.2
right_left_C048.mp4 ,right_left,32,30.0,1.0666666666666667,1920,1080,1.16
right_left_C049.mp4 ,right_left,32,30.0,1.0666666666666667,1920,1080,1.16
right_left_C050.mp4 ,right_left,36,30.0,1.2,1920,1080,1.15
right_left_C051.mp4 ,right_left,30,24.0,1.25,1920,1080,1.29
right_left_C052.mp4 ,right_left,58,30.0,1.9333333333333333,1920,1080,1.0
right_left_C053.mp4 ,right_left,61,30.0,2.033333333333333,1920,1080,0.73
right_left_C054.mp4 ,right_left,64,30.0,2.1333333333333333,1920,1080,1.01
right_left_C055.mp4 ,right_left,56,30.0,1.8666666666666667,1920,1080,0.88
right_left_C056.mp4 ,right_left,65,30.0,2.1666666666666665,1920,1080,0.72
right_left_C057.mp4 ,right_left,64,30.0,2.1333333333333333,1920,1080,0.74
right_left_C058.mp4 ,right_left,65,30.0,2.1666666666666665,1920,1080,0.78
right_left_C059.mp4 ,right_left,68,30.0,2.2666666666666666,1920,1080,0.94
right_left_C060.mp4 ,right_left,58,30.0,1.9333333333333333,1920,1080,1.07
right_left_C061.mp4 ,right_left,59,30.0,1.9666666666666666,1920,1080,1.07
right_left_C062.mp4 ,right_left,58,30.0,1.9333333333333333,1920,1080,0.85
right_left_C063.mp4 ,right_left,62,30.0,2.066666666666667,1920,1080,1.2
right_left_C064.mp4 ,right_left,70,30.0,2.3333333333333335,1920,1080,1.31
right_left_C065.mp4 ,right_left,62,30.0,2.066666666666667,1920,1080,1.06
right_left_C066.mp4 ,right_left,61,30.0,2.033333333333333,1920,1080,0.71
right_left_C067.mp4 ,right_left,65,30.0,2.1666666666666665,1920,1080,1.17
right_left_C068.mp4 ,right_left,68,30.0,2.2666666666666666,1920,1080,0.76
right_left_C069.mp4 ,right_left,60,30.0,2.0,1920,1080,0.82
right_left_C070.mp4 ,right_left,58,30.0,1.9333333333333333,1920,1080,0.95
right_left_C071.mp4 ,right_left,60,30.0,2.0,1920,1080,0.98
right_left_C072.mp4 ,right_left,67,30.0,2.2333333333333334,1920,1080,1.14
right_left_C073.mp4 ,right_left,55,30.0,1.8333333333333333,1920,1080,1.04
right_left_C074.mp4 ,right_left,60,30.0,2.0,1920,1080,1.02
right_left_C075.mp4 ,right_left,54,30.0,1.8,1920,1080,0.93
right_left_C076.mp4 ,right_left,62,30.0,2.066666666666667,1920,1080,1.05
right_left_C077.mp4 ,right_left,59,30.0,1.9666666666666666,1920,1080,0.96
right_left_C078.mp4 ,right_left,61,30.0,2.033333333333333,1920,1080,0.7
right_left_C079.mp4 ,right_left,66,30.0,2.2,1920,1080,1.08
right_left_C080.mp4 ,right_left,62,30.0,2.066666666666667,1920,1080,0.7
right_left_C081.mp4 ,right_left,61,30.0,2.033333333333333,1920,1080,1.09
right_left_C082.mp4 ,right_left,57,30.0,1.9,1920,1080,1.04
right_left_C083.mp4 ,right_left,63,30.0,2.1,1920,1080,1.09
right_left_C084.mp4 ,right_left,61,30.0,2.033333333333333,1920,1080,0.71
right_left_C085.mp4 ,right_left,66,30.0,2.2,1920,1080,1.14
right_left_C086.mp4 ,right_left,58,30.0,1.9333333333333333,1920,1080,1.02
right_left_C087.mp4 ,right_left,69,30.0,2.3,1920,1080,1.4
right_left_C088.mp4 ,right_left,58,30.0,1.9333333333333333,1920,1080,0.65
right_left_C089.mp4 ,right_left,52,30.0,1.7333333333333334,1920,1080,0.91
right_left_C090.mp4 ,right_left,57,30.0,1.9,1920,1080,1.0
right_left_C091.mp4 ,right_left,65,30.0,2.1666666666666665,1920,1080,0.73
right_left_C092.mp4 ,right_left,51,30.0,1.7,1920,1080,0.61
right_left_C093.mp4 ,right_left,55,30.0,1.8333333333333333,1920,1080,0.86
right_left_C094.mp4 ,right_left,58,30.0,1.9333333333333333,1920,1080,0.69
right_left_C095.mp4 ,right_left,58,30.0,1.9333333333333333,1920,1080,1.11
right_left_C096.mp4 ,right_left,60,30.0,2.0,1920,1080,0.97
right_left_C097.mp4 ,right_left,66,30.0,2.2,1920,1080,1.35
right_left_C098.mp4 ,right_left,58,30.0,1.9333333333333333,1920,1080,0.96
right_left_C099.mp4 ,right_left,61,30.0,2.033333333333333,1920,1080,0.73
right_left_C100.mp4 ,right_left,70,30.0,2.3333333333333335,1920,1080,1.37
right_left_C101.mp4 ,right_left,63,30.0,2.1,1920,1080,1.21
right_left_C102.mp4 ,right_left,60,30.0,2.0,1920,1080,1.1
right_left_C103.mp4 ,right_left,60,30.0,2.0,1920,1080,1.06
right_left_C104.mp4 ,right_left,63,30.0,2.1,1920,1080,0.71
right_left_C105.mp4 ,right_left,62,30.0,2.066666666666667,1920,1080,1.15
right_left_C106.mp4 ,right_left,59,30.0,1.9666666666666666,1920,1080,0.97
right_left_C107.mp4 ,right_left,61,30.0,2.033333333333333,1920,1080,0.7
right_left_C108.mp4 ,right_left,65,30.0,2.1666666666666665,1920,1080,1.11
right_left_C109.mp4 ,right_left,64,30.0,2.1333333333333333,1920,1080,1.01
right_left_C110.mp4 ,right_left,64,30.0,2.1333333333333333,1920,1080,1.09
right_left_C111.mp4 ,right_left,61,30.0,2.033333333333333,1920,1080,0.81
right_left_C112.mp4 ,right_left,66,30.0,2.2,1920,1080,1.1
right_left_C113.mp4 ,right_left,58,30.0,1.9333333333333333,1920,1080,1.01
right_left_C114.mp4 ,right_left,61,30.0,2.033333333333333,1920,1080,0.96
right_right_C001.mp4 ,right_right,62,30.0,2.066666666666667,1920,1080,1.17
right_right_C002.mp4 ,right_right,60,30.0,2.0,1920,1080,1.09
right_right_C003,right_right,73,30.0,2.433333333333333,1920,1080,1.32
right_right_C004,right_right,66,30.0,2.2,1920,1080,1.0
right_right_C005,right_right,69,30.0,2.3,1920,1080,1.25
right_right_C006,right_right,64,30.0,2.1333333333333333,1920,1080,1.22
right_right_C007,right_right,58,30.0,1.9333333333333333,1920,1080,1.09
right_right_C008,right_right,66,30.0,2.2,1920,1080,1.27
right_right_C009,right_right,66,30.0,2.2,1920,1080,1.22
right_right_C010,right_right,68,30.0,2.2666666666666666,1920,1080,1.18
right_right_C011,right_right,65,30.0,2.1666666666666665,1920,1080,0.98
right_right_C012,right_right,65,30.0,2.1666666666666665,1920,1080,1.19
right_right_C013,right_right,60,30.0,2.0,1920,1080,1.07
right_right_C014,right_right,72,30.0,2.4,1920,1080,1.35
right_right_C015,right_right,63,30.0,2.1,1920,1080,0.99
right_right_C016,right_right,61,30.0,2.033333333333333,1920,1080,1.11
right_right_C017,right_right,59,30.0,1.9666666666666666,1920,1080,1.07
right_right_C018,right_right,75,30.0,2.5,1920,1080,1.11
right_right_C019,right_right,66,30.0,2.2,1920,1080,1.01
right_right_C020,right_right,59,30.0,1.9666666666666666,1920,1080,1.01
right_right_C021,right_right,59,30.0,1.9666666666666666,1920,1080,1.16
right_right_C022,right_right,56,30.0,1.8666666666666667,1920,1080,0.97
right_right_C023,right_right,67,30.0,2.2333333333333334,1920,1080,1.19
